,ticker,name,sector,market capitalization
92,CBOE,"Cboe Global Markets, Inc.",Financial Services,19607.015424
93,CBRE,"CBRE Group, Inc.",Real Estate,33875.949568
94,CDW,CDW Corporation,Technology,30876.598272
95,CE,Celanese Corporation,Basic Materials,15190.31808
96,COR,"Cencora, Inc.",Healthcare,44824.977408
97,CNC,Centene Corporation,Healthcare,39010.250752
98,CNP,"CenterPoint Energy, Inc.",Utilities,18782.298112
99,CF,"CF Industries Holdings, Inc.",Basic Materials,13715.961856
100,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,10476.489728
101,CRL,"Charles River Laboratories International, Inc.",Healthcare,12026.436608
102,SCHW,The Charles Schwab Corporation,Financial Services,121756.114944
103,CHTR,"Charter Communications, Inc.",Communication Services,52948.307968
104,CVX,Chevron Corporation,Energy,288657.801216
105,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,68434.034688
106,CB,Chubb Limited,Financial Services,109124.222976
107,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,24789.741568
108,CI,The Cigna Group,Healthcare,97619.18976
109,CINF,Cincinnati Financial Corporation,Financial Services,19406.92992
110,CTAS,Cintas Corporation,Industrials,76724.51072
111,CSCO,"Cisco Systems, Inc.",Technology,192899.432448
112,C,Citigroup Inc.,Financial Services,125517.12768
113,CFG,"Citizens Financial Group, Inc.",Financial Services,19581.546496
114,CLX,The Clorox Company,Consumer Defensive,16716.946432
115,CME,CME Group Inc.,Financial Services,72207.433728
116,CMS,CMS Energy Corporation,Utilities,18807.977984
117,KO,The Coca-Cola Company,Consumer Defensive,288915.78368
118,CTSH,Cognizant Technology Solutions Corporation,Technology,37076.13184
119,CL,Colgate-Palmolive Company,Consumer Defensive,81543.634944
120,CMCSA,Comcast Corporation,Communication Services,153699.516416
121,CAG,"Conagra Brands, Inc.",Consumer Defensive,14317.577216
122,COP,ConocoPhillips,Energy,129075.412992
123,ED,"Consolidated Edison, Inc.",Utilities,33352.329216
124,STZ,"Constellation Brands, Inc.",Consumer Defensive,46195.208192
125,CEG,Constellation Energy Corporation,Utilities,55178.735616
126,COO,"The Cooper Companies, Inc.",Healthcare,18559.975424
127,CPRT,"Copart, Inc.",Industrials,49125.310464
128,GLW,Corning Incorporated,Technology,36706.123776
129,CPAY,"Corpay, Inc.",Technology,20530.348032
130,CTVA,"Corteva, Inc.",Basic Materials,38605.500416
131,CSGP,"CoStar Group, Inc.",Real Estate,32174.733312
132,COST,Costco Wholesale Corporation,Consumer Defensive,362470.703104
133,CTRA,Coterra Energy Inc.,Energy,19186.327552
134,CRWD,"CrowdStrike Holdings, Inc.",Technology,62339.354624
135,CCI,Crown Castle Inc.,Real Estate,46719.913984
136,CSX,CSX Corporation,Industrials,67093.1968
137,CMI,Cummins Inc.,Industrials,39718.178816
138,CVS,CVS Health Corporation,Healthcare,76577.570816
139,DHR,Danaher Corporation,Healthcare,197821.366272
140,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,16910.639104
141,DVA,DaVita Inc.,Healthcare,12051.214336
142,DAY,Dayforce Inc,Technology,8228.169216
143,DECK,Deckers Outdoor Corporation,Consumer Cyclical,22734.864384
144,DE,Deere & Company,Industrials,106521.575424
145,DAL,"Delta Air Lines, Inc.",Industrials,28482.340864
146,DVN,Devon Energy Corporation,Energy,29081.686016
147,DXCM,"DexCom, Inc.",Healthcare,25646.528512
148,FANG,"Diamondback Energy, Inc.",Energy,35804.340224
149,DLR,"Digital Realty Trust, Inc.",Real Estate,48204.75904
150,DFS,Discover Financial Services,Financial Services,35657.732096
151,DG,Dollar General Corporation,Consumer Defensive,25967.40096
152,DLTR,"Dollar Tree, Inc.",Consumer Defensive,22339.129344
153,D,"Dominion Energy, Inc.",Utilities,44173.7216
154,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,14599.563264
155,DOV,Dover Corporation,Industrials,25461.344256
156,DOW,Dow Inc.,Basic Materials,37050.687488
157,DHI,"D.R. Horton, Inc.",Consumer Cyclical,57689.51808
158,DTE,DTE Energy Company,Utilities,24467.693568
159,DUK,Duke Energy Corporation,Utilities,83374.20288
160,DD,"DuPont de Nemours, Inc.",Basic Materials,33523.57888
161,EMN,Eastman Chemical Company,Basic Materials,11845.747712
162,ETN,Eaton Corporation plc,Industrials,119083.843584
163,EBAY,eBay Inc.,Consumer Cyclical,27198.359552
164,ECL,Ecolab Inc.,Basic Materials,70033.186816
165,EIX,Edison International,Utilities,30318.75584
166,EW,Edwards Lifesciences Corporation,Healthcare,37584.162816
167,EA,Electronic Arts Inc.,Communication Services,38579.4048
168,ELV,"Elevance Health, Inc.",Healthcare,122319.863808
169,EMR,Emerson Electric Co.,Industrials,66844.16
170,ENPH,"Enphase Energy, Inc.",Technology,16161.260544
171,ETR,Entergy Corporation,Utilities,24264.208384
172,EOG,"EOG Resources, Inc.",Energy,73074.499584
173,EPAM,"EPAM Systems, Inc.",Technology,12235.497472
174,EQT,EQT Corporation,Energy,20381.134848
175,EFX,Equifax Inc.,Industrials,33624.018944
176,EQIX,"Equinix, Inc.",Real Estate,73308.004352
177,EQR,Equity Residential,Real Estate,26819.846144
178,ESS,"Essex Property Trust, Inc.",Real Estate,19059.00544
179,EL,The Estée Lauder Companies Inc.,Consumer Defensive,36114.567168
180,ETSY,"Etsy, Inc.",Consumer Cyclical,7281.417728
181,EG,"Everest Group, Ltd.",Financial Services,16641.447936
182,EVRG,"Evergy, Inc.",Utilities,13048.470528
183,ES,Eversource Energy,Utilities,22720.448512
184,EXC,Exelon Corporation,Utilities,36751.101952
185,EXPE,"Expedia Group, Inc.",Consumer Cyclical,16674.1248
186,EXPD,"Expeditors International of Washington, Inc.",Industrials,17540.673536
187,EXR,Extra Space Storage Inc.,Real Estate,36289.425408
188,XOM,Exxon Mobil Corporation,Energy,526334.164992
189,FFIV,"F5, Inc.",Technology,10394.145792
190,FDS,FactSet Research Systems Inc.,Financial Services,15799.15264
191,FICO,Fair Isaac Corporation,Technology,39684.222976
192,FAST,Fastenal Company,Industrials,40297.10336
193,FRT,Federal Realty Investment Trust,Real Estate,9156.617216
194,FDX,FedEx Corporation,Industrials,73324.806144
195,FIS,"Fidelity National Information Services, Inc.",Technology,42097.078272
196,FITB,Fifth Third Bancorp,Financial Services,28776.951808
197,FSLR,"First Solar, Inc.",Technology,24270.477312
198,FE,FirstEnergy Corp.,Utilities,23561.6256
199,FI,"Fiserv, Inc.",Technology,92081.455104
200,FMC,FMC Corporation,Basic Materials,7439.15264
201,F,Ford Motor Company,Consumer Cyclical,44483.043328
202,FTNT,"Fortinet, Inc.",Technology,43544.465408
203,FTV,Fortive Corporation,Technology,24870.77888
204,FOXA,Fox Corporation,Communication Services,16891.276288
205,FOX,Fox Corporation,Communication Services,16902.8864
206,BEN,"Franklin Resources, Inc.",Financial Services,12142.180352
207,FCX,Freeport-McMoRan Inc.,Basic Materials,64642.048
208,GRMN,Garmin Ltd.,Technology,34178.359296
209,IT,"Gartner, Inc.",Technology,36557.754368
210,GE,GE Aerospace,Industrials,184126.685184
211,GEHC,GE HealthCare Technologies Inc.,Healthcare,36745.433088
212,GEV,GE Vernova Inc.,Utilities,47570.972672
213,GEN,Gen Digital Inc.,Technology,16336.14848
214,GNRC,Generac Holdings Inc.,Industrials,9663.753216
215,GD,General Dynamics Corporation,Industrials,79795.52768
216,GIS,"General Mills, Inc.",Consumer Defensive,37016.240128
217,GM,General Motors Company,Consumer Cyclical,49587.347456
218,GPC,Genuine Parts Company,Consumer Cyclical,19778.975744
219,GILD,"Gilead Sciences, Inc.",Healthcare,95942.909952
220,GPN,Global Payments Inc.,Industrials,25828.747264
221,GL,Globe Life Inc.,Financial Services,8367.939072
222,GDDY,GoDaddy Inc.,Technology,20246.171648
223,GS,"The Goldman Sachs Group, Inc.",Financial Services,160918.716416
224,HAL,Halliburton Company,Energy,30454.355968
225,HIG,"The Hartford Financial Services Group, Inc.",Financial Services,32423.620608
226,HAS,"Hasbro, Inc.",Consumer Cyclical,8888.941568
227,HCA,"HCA Healthcare, Inc.",Healthcare,92921.847808
228,DOC,"Healthpeak Properties, Inc.",Real Estate,15412.826112
229,HSIC,"Henry Schein, Inc.",Healthcare,9259.367424
230,HSY,The Hershey Company,Consumer Defensive,39137.378304
231,HES,Hess Corporation,Energy,46293.827584
232,HPE,Hewlett Packard Enterprise Company,Technology,25681.47968
233,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,53912.416256
234,HOLX,"Hologic, Inc.",Healthcare,18350.432256
235,HD,"The Home Depot, Inc.",Consumer Cyclical,356495.163392
236,HON,Honeywell International Inc.,Industrials,131714.29376
237,HRL,Hormel Foods Corporation,Consumer Defensive,17551.243264
238,HST,"Host Hotels & Resorts, Inc.",Real Estate,12472.353792
239,HWM,Howmet Aerospace Inc.,Industrials,33748.57216
240,HPQ,HP Inc.,Technology,35560.869888
241,HUBB,Hubbell Incorporated,Industrials,19707.592704
242,HUM,Humana Inc.,Healthcare,47312.306176
243,HBAN,Huntington Bancshares Incorporated,Financial Services,21975.26528
244,HII,"Huntington Ingalls Industries, Inc.",Industrials,10884.773888
245,IBM,International Business Machines Corporation,Technology,176142.123008
246,IEX,IDEX Corporation,Industrials,15628.07296
247,IDXX,"IDEXX Laboratories, Inc.",Healthcare,38792.077312
248,ITW,Illinois Tool Works Inc.,Industrials,73851.019264
249,INCY,Incyte Corporation,Healthcare,13516.924928
250,IR,Ingersoll Rand Inc.,Industrials,39839.760384
251,PODD,Insulet Corporation,Healthcare,13538.6368
252,INTC,Intel Corporation,Technology,133452.873728
253,ICE,"Intercontinental Exchange, Inc.",Financial Services,86611.337216
254,IFF,International Flavors & Fragrances Inc.,Basic Materials,25238.892544
255,IP,International Paper Company,Consumer Cyclical,16298.599424
256,IPG,"The Interpublic Group of Companies, Inc.",Communication Services,11635.80928
257,INTU,Intuit Inc.,Technology,177053.892608
258,ISRG,"Intuitive Surgical, Inc.",Healthcare,156817.702912
259,IVZ,Invesco Ltd.,Financial Services,7836.056064
260,INVH,Invitation Homes Inc.,Real Estate,20871.07584
261,IQV,IQVIA Holdings Inc.,Healthcare,43691.839488
262,IRM,Iron Mountain Incorporated,Real Estate,28873.598976
263,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,17494.849536
264,JBL,Jabil Inc.,Technology,12522.058752
265,JKHY,"Jack Henry & Associates, Inc.",Technology,12417.056768
266,J,Jacobs Solutions Inc.,Industrials,18278.592512
267,JNJ,Johnson & Johnson,Healthcare,386699.034624
268,JCI,Johnson Controls International plc,Industrials,46328.696832
269,JPM,JPMorgan Chase & Co.,Financial Services,603844.050944
270,JNPR,"Juniper Networks, Inc.",Technology,12105.802752
271,K,Kellanova,Consumer Defensive,19648.073728
272,KVUE,Kenvue Inc.,Consumer Defensive,35787.800576
273,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,45754.478592
274,KEY,KeyCorp,Financial Services,15525.070848
275,KEYS,"Keysight Technologies, Inc.",Technology,24156.196864
276,KMB,Kimberly-Clark Corporation,Consumer Defensive,47762.173952
277,KIM,Kimco Realty Corporation,Real Estate,14284.517376
278,KMI,"Kinder Morgan, Inc.",Energy,47429.865472
279,KKR,KKR & Co. Inc.,Financial Services,109262.667776
280,KLAC,KLA Corporation,Technology,106014.18752
281,KHC,The Kraft Heinz Company,Consumer Defensive,40509.05088
282,KR,The Kroger Co.,Consumer Defensive,39171.596288
283,LHX,"L3Harris Technologies, Inc.",Industrials,43520.221184
284,LH,Labcorp Holdings Inc.,Healthcare,17777.52064
285,LRCX,Lam Research Corporation,Technology,116966.129664
286,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,8147.582976
287,LVS,Las Vegas Sands Corp.,Consumer Cyclical,29190.940672
288,LDOS,"Leidos Holdings, Inc.",Technology,20258.813952
289,LEN,Lennar Corporation,Consumer Cyclical,48141.635584
290,LLY,Eli Lilly and Company,Healthcare,724483.833856
291,LIN,Linde plc,Basic Materials,216990.400512
292,LYV,"Live Nation Entertainment, Inc.",Communication Services,21672.323072
293,LKQ,LKQ Corporation,Consumer Cyclical,10577.626112
294,LMT,Lockheed Martin Corporation,Industrials,125090.275328
295,L,Loews Corporation,Financial Services,17732.405248
296,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,136116.486144
297,LULU,Lululemon Athletica Inc.,Consumer Cyclical,31688.00768
298,LYB,LyondellBasell Industries N.V.,Basic Materials,31669.997568
299,MTB,M&T Bank Corporation,Financial Services,29247.649792
300,MRO,Marathon Oil Corporation,Energy,15594.323968
301,MPC,Marathon Petroleum Corporation,Energy,60829.769728
302,MKTX,MarketAxess Holdings Inc.,Financial Services,8550.677504
303,MAR,"Marriott International, Inc.",Consumer Cyclical,67578.171392
304,MMC,"Marsh & McLennan Companies, Inc.",Financial Services,107188.051968
305,MLM,"Martin Marietta Materials, Inc.",Basic Materials,34864.930816
306,MAS,Masco Corporation,Industrials,16903.384064
307,MA,Mastercard Incorporated,Financial Services,407338.68032
308,MTCH,"Match Group, Inc.",Communication Services,8833.461248
309,MKC,"McCormick & Company, Incorporated",Consumer Defensive,20357.799936
310,MCD,McDonald's Corporation,Consumer Cyclical,181611.855872
311,MCK,McKesson Corporation,Healthcare,77847.3472
312,MDT,Medtronic plc,Healthcare,100914.642944
313,MRK,"Merck & Co., Inc.",Healthcare,317259.776
314,META,"Meta Platforms, Inc.",Communication Services,1181262.020608
315,MET,"MetLife, Inc.",Financial Services,54045.34784
316,MTD,Mettler-Toledo International Inc.,Healthcare,30969.93792
317,MGM,MGM Resorts International,Consumer Cyclical,13124.371456
318,MCHP,Microchip Technology Incorporated,Technology,46584.7296
319,MU,"Micron Technology, Inc.",Technology,121318.178816
320,MSFT,Microsoft Corporation,Technology,3160738.36544
321,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,17094.157312
322,MRNA,"Moderna, Inc.",Healthcare,46797.43488
323,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,10263.43936
324,MOH,"Molina Healthcare, Inc.",Healthcare,19652.096
325,TAP,Molson Coors Beverage Company,Consumer Defensive,11527.84896
326,MDLZ,"Mondelez International, Inc.",Consumer Defensive,89093.128192
327,MPWR,"Monolithic Power Systems, Inc.",Technology,39997.677568
328,MNST,Monster Beverage Corporation,Consumer Defensive,50257.084416
329,MCO,Moody's Corporation,Financial Services,81710.194688
330,MS,Morgan Stanley,Financial Services,168683.618304
331,MOS,The Mosaic Company,Basic Materials,9503.5904
332,MSI,"Motorola Solutions, Inc.",Technology,65665.712128
333,MSCI,MSCI Inc.,Financial Services,42487.394304
334,NDAQ,"Nasdaq, Inc.",Financial Services,38604.648448
335,NTAP,"NetApp, Inc.",Technology,25961.92256
336,NFLX,"Netflix, Inc.",Communication Services,270961.901568
337,NEM,Newmont Corporation,Basic Materials,53619.4048
338,NWSA,News Corporation,Communication Services,15800.866816
339,NWS,News Corporation,Communication Services,15800.489984
340,NEE,"NextEra Energy, Inc.",Utilities,152630.296576
341,NKE,"NIKE, Inc.",Consumer Cyclical,108793.561088
342,NI,NiSource Inc.,Utilities,14045.394944
343,NDSN,Nordson Corporation,Industrials,14085.261312
344,NSC,Norfolk Southern Corporation,Industrials,55895.453696
345,NTRS,Northern Trust Corporation,Financial Services,18032.4864
346,NOC,Northrop Grumman Corporation,Industrials,70241.468416
347,NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,7924.386816
348,NRG,"NRG Energy, Inc.",Utilities,15366.765568
349,NUE,Nucor Corporation,Basic Materials,38575.3088
350,NVDA,NVIDIA Corporation,Technology,2781083.860992
351,NVR,"NVR, Inc.",Consumer Cyclical,26578.173952
352,NXPI,NXP Semiconductors N.V.,Technology,64605.380608
353,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,64440.950784
354,OXY,Occidental Petroleum Corporation,Energy,53677.002752
355,ODFL,"Old Dominion Freight Line, Inc.",Industrials,44093.640704
356,OMC,Omnicom Group Inc.,Communication Services,18670.782464
357,ON,ON Semiconductor Corporation,Technology,30189.379584
358,OKE,"ONEOK, Inc.",Energy,47870.722048
359,ORCL,Oracle Corporation,Technology,383092.064256
360,OTIS,Otis Worldwide Corporation,Industrials,37443.883008
361,PCAR,PACCAR Inc,Industrials,52031.52896
362,PKG,Packaging Corporation of America,Consumer Cyclical,17869.801472
363,PANW,"Palo Alto Networks, Inc.",Technology,105821.077504
364,PARA,Paramount Global,Communication Services,7912.594432
365,PH,Parker-Hannifin Corporation,Industrials,71290.118144
366,PAYX,"Paychex, Inc.",Industrials,45285.96992
367,PAYC,"Paycom Software, Inc.",Technology,9531.783168
368,PYPL,"PayPal Holdings, Inc.",Financial Services,60974.256128
369,PNR,Pentair plc,Industrials,14646.573056
370,PEP,"PepsiCo, Inc.",Consumer Defensive,237284.22912
371,PFE,Pfizer Inc.,Healthcare,174360.9856
372,PCG,PG&E Corporation,Utilities,47152.058368
373,PM,Philip Morris International Inc.,Consumer Defensive,176252.125184
374,PSX,Phillips 66,Energy,60290.215936
375,PNW,Pinnacle West Capital Corporation,Utilities,9619.582976
376,PNC,"The PNC Financial Services Group, Inc.",Financial Services,72041.488384
377,POOL,Pool Corporation,Industrials,14251.414528
378,PPG,"PPG Industries, Inc.",Basic Materials,29757.415424
379,PPL,PPL Corporation,Utilities,21719.095296
380,PFG,"Principal Financial Group, Inc.",Financial Services,19109.326848
381,PG,The Procter & Gamble Company,Consumer Defensive,399123.283968
382,PGR,The Progressive Corporation,Financial Services,126323.761152
383,PLD,"Prologis, Inc.",Real Estate,113582.538752
384,PRU,"Prudential Financial, Inc.",Financial Services,44575.694848
385,PEG,Public Service Enterprise Group Incorporated,Utilities,37859.06176
386,PTC,PTC Inc.,Technology,20811.507712
387,PSA,Public Storage,Real Estate,52847.53408
388,PHM,"PulteGroup, Inc.",Consumer Cyclical,26976.045056
389,QRVO,"Qorvo, Inc.",Technology,11594.464256
390,PWR,"Quanta Services, Inc.",Industrials,37808.88576
391,QCOM,QUALCOMM Incorporated,Technology,200935.800832
392,DGX,Quest Diagnostics Incorporated,Healthcare,16206.641152
393,RL,Ralph Lauren Corporation,Consumer Cyclical,10532.322304
394,RJF,"Raymond James Financial, Inc.",Financial Services,23989.407744
395,RTX,RTX Corporation,Industrials,151580.83584
396,O,Realty Income Corporation,Real Estate,50565.844992
397,REG,Regency Centers Corporation,Real Estate,12149.052416
398,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,118849.929216
399,RF,Regions Financial Corporation,Financial Services,20825.741312
400,RSG,"Republic Services, Inc.",Industrials,59767.140352
401,RMD,ResMed Inc.,Healthcare,28946.55488
402,RVTY,"Revvity, Inc.",Healthcare,14208.704512
403,ROK,"Rockwell Automation, Inc.",Industrials,31583.391744
404,ROL,"Rollins, Inc.",Consumer Cyclical,22244.540416
405,ROP,"Roper Technologies, Inc.",Technology,58717.396992
406,ROST,"Ross Stores, Inc.",Consumer Cyclical,47004.0576
407,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,39525.576704
408,SPGI,S&P Global Inc.,Financial Services,153264.685056
409,CRM,"Salesforce, Inc.",Technology,254565.974016
410,SBAC,SBA Communications Corporation,Real Estate,23069.087744
411,SLB,Schlumberger Limited,Energy,69330.788352
412,STX,Seagate Technology Holdings plc,Technology,21771.659264
413,SRE,Sempra,Utilities,49710.055424
414,NOW,"ServiceNow, Inc.",Technology,170369.302528
415,SHW,The Sherwin-Williams Company,Basic Materials,88093.540352
416,SPG,"Simon Property Group, Inc.",Real Estate,57136.431104
417,SWKS,"Skyworks Solutions, Inc.",Technology,18640.734208
418,SJM,The J. M. Smucker Company,Consumer Defensive,12579.316736
419,SW,Smurfit Westrock Plc,Consumer Cyclical,25348.204544
420,SNA,Snap-on Incorporated,Industrials,14785.927168
421,SOLV,Solventum Corporation,Healthcare,9953.277952
422,SO,The Southern Company,Utilities,89847.144448
423,LUV,Southwest Airlines Co.,Industrials,16295.95648
424,SWK,"Stanley Black & Decker, Inc.",Industrials,14684.674048
425,SBUX,Starbucks Corporation,Consumer Cyclical,83876.438016
426,STT,State Street Corporation,Financial Services,25521.412096
427,STLD,"Steel Dynamics, Inc.",Basic Materials,20512.139264
428,STE,STERIS plc,Healthcare,23012.036608
429,SYK,Stryker Corporation,Healthcare,126349.697024
430,SMCI,"Super Micro Computer, Inc.",Technology,41703.354368
431,SYF,Synchrony Financial,Financial Services,20069.627904
432,SNPS,"Synopsys, Inc.",Technology,83714.162688
433,SYY,Sysco Corporation,Consumer Defensive,36277.989376
434,TMUS,"T-Mobile US, Inc.",Communication Services,206268.809216
435,TROW,"T. Rowe Price Group, Inc.",Financial Services,25027.465216
436,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,26423.035904
437,TPR,"Tapestry, Inc.",Consumer Cyclical,9379.33312
438,TRGP,Targa Resources Corp.,Energy,29171.306496
439,TGT,Target Corporation,Consumer Defensive,68932.911104
440,TEL,TE Connectivity Ltd.,Technology,47609.110528
441,TDY,Teledyne Technologies Incorporated,Technology,19991.42912
442,TFX,Teleflex Incorporated,Healthcare,10376.702976
443,TER,"Teradyne, Inc.",Technology,19741.923328
444,TSLA,"Tesla, Inc.",Consumer Cyclical,702181.86752
445,TXN,Texas Instruments Incorporated,Technology,184426.16832
446,TXT,Textron Inc.,Industrials,17555.750912
447,TMO,Thermo Fisher Scientific Inc.,Healthcare,231755.055104
448,TJX,"The TJX Companies, Inc.",Consumer Cyclical,126384.676864
449,TSCO,Tractor Supply Company,Consumer Cyclical,28302.280704
450,TT,Trane Technologies plc,Industrials,74630.51264
451,TDG,TransDigm Group Incorporated,Industrials,69100.91264
452,TRV,"The Travelers Companies, Inc.",Financial Services,48743.047168
453,TRMB,Trimble Inc.,Technology,13519.35488
454,TFC,Truist Financial Corporation,Financial Services,59443.73248
455,TYL,"Tyler Technologies, Inc.",Technology,25076.224
456,TSN,"Tyson Foods, Inc.",Consumer Defensive,21721.083904
457,USB,U.S. Bancorp,Financial Services,70938.509312
458,UBER,"Uber Technologies, Inc.",Technology,134565.093376
459,UDR,"UDR, Inc.",Real Estate,15557.057536
460,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,17629.300736
461,UNP,Union Pacific Corporation,Industrials,146648.92416
